GeneID	REP1.B_b	REP1.B_m	REP2.B_b	REP2.B_m	REP3.B_b	REP3.B_m	REP4.B_b	REP4.B_m	REP1.M_b	REP1.M_m	REP2.M_b	REP2.M_m	REP3.M_b	REP3.M_m	REP4.M_b	REP4.M_m	REP1.BM_b	REP1.BM_m	REP2.BM_b	REP2.BM_m	REP3.BM_b	REP3.BM_m	REP4.BM_b	REP4.BM_m	REP1.MB_b	REP1.MB_m	REP2.MB_b	REP2.MB_m	REP3.MB_b	REP3.MB_m	REP4.MB_b	REP4.MB_m	REP1_B.total	REP1_M.total	REP1_BM.total	REP1_MB.total	REP2_B.total	REP2_M.total	REP2_BM.total	REP2_MB.total	REP3_B.total	REP3_M.total	REP3_BM.total	REP3_MB.total	REP4_B.total	REP4_M.total	REP4_BM.total	REP4_MB.total
GRMZM2G155837	5	0	6	0	5	0	3	0	0	0	0	3	0	1	0	2	3	0	1	1	2	2	0	2	3	5	4	3	1	2	1	2	693	860	681	967	751	810	807	820	329	565	437	389	407	787	295	550
GRMZM2G060511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	528	514	550	581	525	487	501	527	552	715	592	636	609	600	614	611
GRMZM2G022793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	670	692	637	810	638	639	639	604	711	935	855	864	734	830	797	811
GRMZM2G079290	13	0	16	0	17	0	24	0	1	7	0	5	0	28	0	18	13	9	7	9	6	7	18	10	7	6	11	4	15	8	11	6	258	379	330	296	212	287	301	358	223	415	363	411	276	420	367	371
GRMZM2G002121	18	0	14	0	17	0	19	0	0	14	0	12	0	21	0	18	3	5	3	7	13	15	14	10	9	8	10	8	17	13	16	9	338	293	302	280	254	266	288	293	293	307	333	336	309	291	306	302
AC234202.1_FG004	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	5	0	3	0	6	1	0	0	3	2	3
GRMZM2G072292	5	0	9	0	5	0	12	0	0	8	0	10	0	6	0	10	1	2	5	1	3	4	5	1	4	2	1	2	0	1	7	2	142	105	88	72	125	117	68	80	89	126	88	73	111	166	100	66
GRMZM2G098078	5	0	0	0	3	0	3	0	0	4	0	5	0	1	0	0	3	2	4	5	1	0	1	1	3	4	1	3	1	1	0	0	490	527	508	629	461	483	510	479	258	388	265	313	326	434	302	410
GRMZM2G107114	229	0	211	0	229	1	261	0	1	124	1	117	1	239	1	182	152	103	82	72	139	140	161	151	132	124	112	83	141	137	132	134	2163	1240	1869	1470	1732	1073	1269	1547	1478	1464	1440	1486	1689	1379	1502	1364
GRMZM2G179521	1	0	0	0	4	0	3	1	1	0	0	1	0	0	1	0	3	1	0	1	2	0	0	0	0	0	2	0	1	1	0	0	25	14	22	19	25	17	31	20	63	12	56	39	39	18	35	26
GRMZM2G099420	2	0	0	0	0	0	1	0	0	1	1	0	0	1	0	2	0	0	2	0	0	0	0	0	1	2	0	0	0	2	1	0	6	7	5	11	3	4	8	7	6	12	6	6	6	28	3	7
GRMZM2G138526	1	0	1	0	2	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	19	6	7	11	11	10	15	16	9	5	9	5	5	9	11	10
GRMZM2G062632	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1
GRMZM2G041765	20	0	20	0	30	0	32	1	0	15	0	11	1	16	0	13	15	7	7	4	23	9	21	9	13	13	15	6	15	10	26	9	1672	1321	1550	1350	1410	1170	1340	1639	1140	1330	1171	1355	1300	1280	1289	1241
AC203019.3_FG001	0	0	1	0	3	0	0	0	0	0	0	1	0	1	0	2	2	1	1	0	0	0	2	0	1	0	0	0	0	0	0	0	7	9	6	7	4	7	7	9	8	7	5	5	4	7	6	2
GRMZM5G879570	21	0	14	0	28	0	21	0	1	41	0	26	0	37	2	47	19	15	8	21	22	19	19	30	23	19	21	17	25	15	22	17	88	196	139	159	75	125	116	184	111	161	170	188	90	218	203	148
AC188195.2_FG004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G349376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GRMZM2G008710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	282	304	333	293	258	263	301	364	383	396	358	386	323	356	376
GRMZM2G173826	12	0	8	0	9	0	11	0	0	2	0	3	0	5	0	8	4	0	1	3	5	3	7	4	4	3	4	0	7	2	6	3	351	120	257	157	274	135	121	214	302	210	180	204	288	202	246	198
GRMZM2G066791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G135027	20	0	11	0	14	0	7	0	1	19	0	19	1	23	0	12	12	14	8	8	9	7	7	19	13	20	5	14	2	5	5	7	526	689	545	779	456	588	596	564	588	760	819	743	584	843	804	767
GRMZM2G015097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	414	417	400	400	323	377	380	402	449	423	430	413	417	399	395
GRMZM2G390124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	1	2	2	0	2	1	2	2	0	1	2	3	3
GRMZM2G333352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	2	1	0	0	0	0
GRMZM2G077436	6	0	6	0	6	0	5	0	0	1	0	2	0	3	0	3	1	3	1	0	1	0	4	3	3	2	2	1	2	3	0	1	66	22	48	35	66	30	28	52	60	41	44	50	67	58	57	27
GRMZM2G141723	1	0	3	0	2	0	0	0	0	3	0	5	0	2	0	4	1	3	0	2	0	0	0	2	2	4	0	4	0	1	0	2	18	78	55	76	19	102	74	63	5	69	24	28	7	65	27	30
GRMZM2G397788	2	0	2	0	0	0	1	0	0	1	0	3	0	2	0	0	0	1	0	0	0	1	1	1	0	4	0	1	0	1	0	2	23	34	35	40	29	39	43	30	18	42	27	32	16	31	36	34
GRMZM2G106250	138	1	118	0	123	1	117	2	0	133	1	149	1	223	1	185	52	93	54	70	87	128	68	115	56	96	45	71	82	119	61	94	427	631	508	438	339	527	440	405	389	691	627	564	387	650	535	444
GRMZM2G166686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	1	1	1	1	2	1	0
GRMZM2G079308	329	0	300	0	274	1	305	2	0	135	0	115	2	156	0	159	167	87	164	56	213	87	185	77	204	96	159	80	206	91	218	92	1205	692	980	1105	1036	633	880	880	1056	824	1117	1165	1186	862	1019	1059
GRMZM2G112530	244	0	243	0	270	0	308	0	1	132	1	149	1	243	1	221	125	104	120	85	156	150	173	178	151	119	119	93	177	137	142	125	2368	1685	2759	2448	2007	1695	1634	2023	2149	2703	2631	2518	2440	2436	2878	2347
GRMZM2G428233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9	6	18	4	14	6	17	2	4	3	2	0	2	3	2
GRMZM5G828883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G166985	10	0	21	1	7	0	10	1	0	7	0	6	0	2	1	6	4	4	3	5	2	3	7	2	5	3	11	4	1	3	4	2	882	700	779	778	711	585	751	789	689	854	860	963	730	771	895	836
GRMZM2G474462	2	0	3	0	4	0	4	0	0	0	0	1	0	1	0	0	2	1	0	0	2	0	2	0	1	0	0	0	0	2	0	0	134	65	115	142	147	66	116	90	115	58	97	98	137	62	107	114
GRMZM2G386229	15	0	15	0	5	0	9	0	1	15	0	7	1	5	0	5	8	3	14	5	7	7	4	4	12	3	5	3	6	6	5	3	31	34	30	33	38	17	43	27	29	24	27	25	26	22	25	15
GRMZM2G139765	31	0	24	0	18	0	18	1	0	9	1	7	1	16	0	13	7	11	10	15	12	16	12	19	7	11	9	9	17	20	21	11	117	70	93	109	105	48	102	92	74	50	145	139	95	39	109	114
GRMZM2G133400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	486	304	391	529	416	237	349	340	455	381	587	596	642	306	611	603
GRMZM2G702152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
GRMZM2G374282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1
GRMZM2G399604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0
GRMZM2G149534	25	1	22	0	21	0	30	0	1	6	0	6	0	4	0	5	13	5	9	5	18	4	16	5	13	6	8	0	19	5	9	8	130	29	77	76	108	25	68	61	123	33	102	117	131	43	106	82
GRMZM2G033985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	4	4	3	2	3	3	2	3	4	3	3	2
GRMZM2G007236	5	0	4	0	1	0	2	0	0	6	0	4	0	5	0	3	0	1	2	0	1	3	3	0	3	1	3	3	0	1	0	1	22	21	19	24	15	25	11	25	16	40	19	22	17	22	27	27
GRMZM2G181153	58	1	39	0	71	0	73	0	0	24	0	19	0	39	0	45	37	21	18	9	56	37	47	34	33	21	29	20	44	29	44	27	577	310	568	562	498	263	310	477	542	547	590	585	635	471	677	560
GRMZM2G169220	14	0	10	1	5	0	9	0	1	8	1	5	0	2	0	4	3	1	8	5	4	0	2	3	11	2	11	1	10	1	10	1	23	23	18	29	22	20	21	23	10	5	8	20	13	15	8	16
GRMZM2G418119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	71	56	84	35	105	57	49	43	136	118	90	33	83	102	85
GRMZM2G494910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G013152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	421	344	432	409	393	329	321	373	410	429	402	486	441	421	399	441
GRMZM2G471629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0	0	2	1	1	0	0
GRMZM2G053676	1	0	2	0	3	0	1	0	0	3	0	3	0	3	0	0	0	1	4	2	0	0	0	0	6	1	3	1	0	0	2	0	159	219	150	246	161	201	230	188	105	144	140	126	61	113	95	125
GRMZM5G872399	1	0	2	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	8	0	5	4	8	0	2	6	5	0	5	4	12	0	4	7
GRMZM5G853742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	4	0	5	3	5	1	1	5	4	1	4	6
GRMZM2G340319	3	0	7	0	1	0	2	0	0	0	1	1	0	0	0	0	4	0	2	0	0	0	1	0	1	0	2	0	0	0	0	0	17	3	16	22	25	14	21	24	6	1	4	4	6	4	5	6
GRMZM2G342226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	1	0	1	2	0	0	0	0	1	1
GRMZM2G146416	15	0	19	1	3	0	4	0	0	15	0	19	1	7	1	8	13	7	14	11	7	3	1	4	19	16	6	9	3	2	1	1	188	295	207	297	223	316	301	238	41	65	57	66	46	79	35	31
GRMZM2G703860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G430194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G325019	8	0	7	0	10	0	5	0	0	13	0	11	0	16	0	12	3	3	7	8	8	4	1	4	5	2	3	4	10	2	5	5	49	100	57	75	66	68	73	65	51	84	72	74	53	76	47	60
GRMZM2G178497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	96	175	129	168	124	117	170	129	169	120	153	141	164	133	141
GRMZM2G150925	8	0	4	0	14	0	4	0	0	2	0	1	0	10	0	3	5	1	0	1	5	0	1	2	0	0	1	1	1	2	5	0	24	12	26	11	14	11	8	13	29	27	21	11	29	19	16	17
GRMZM2G381991	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GRMZM2G180950	3	0	3	0	16	0	16	0	1	8	0	9	2	26	0	17	4	6	2	2	5	12	8	13	7	8	1	7	6	11	3	18	12	25	32	37	9	25	9	19	25	54	45	35	27	41	52	53
GRMZM2G391908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
GRMZM2G703108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
GRMZM2G522053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G381470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	1	1	0	1	2	0	1	1	1	0
GRMZM2G154041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM5G855289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0
GRMZM2G085630	25	0	31	1	29	0	36	0	0	21	0	23	0	19	1	31	12	19	11	10	15	17	22	16	22	21	16	14	17	24	10	15	407	382	396	461	417	365	422	383	384	444	393	414	406	465	448	397
GRMZM2G007801	4	0	0	0	6	0	7	0	0	4	0	3	0	6	0	5	1	1	1	1	4	4	6	5	3	3	2	0	5	4	5	6	39	37	40	78	49	49	35	35	61	76	77	83	83	55	71	81
AC210834.4_FG011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	1	1
GRMZM5G826672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G116689	59	0	57	0	50	0	68	0	0	31	1	27	0	35	0	41	28	13	33	12	52	23	32	22	36	21	23	9	44	27	35	25	1315	1116	1195	1206	1102	937	1132	1012	1186	1332	1363	1328	1269	1223	1210	1233
GRMZM2G700954	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	1	1	1	0	1	2	0	0	0	1	2
GRMZM2G069370	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	4	4	2	3	4	1	2	1	3	6	2	6	4
GRMZM2G348151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	10	4	7	6	3	7	8	9	7	9	11	6	8	10	8
GRMZM2G513103	79	0	68	0	115	1	118	0	1	60	1	69	1	78	1	88	59	51	44	51	82	69	70	72	61	49	50	45	70	65	69	63	465	425	557	477	407	384	423	411	462	475	595	579	503	399	504	507
GRMZM2G085646	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	4	6	4	1	3	4	4	6	3	5	3	2	1	5	4	2
GRMZM2G061103	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	1	0	0
GRMZM2G076524	37	1	42	0	47	0	35	0	0	26	0	21	1	38	0	31	20	13	24	22	29	23	28	25	22	28	21	20	27	22	20	21	643	588	604	621	605	527	638	609	565	626	610	615	567	545	589	584
GRMZM2G118870	26	0	18	0	19	1	17	0	1	24	1	20	1	14	0	26	15	13	20	10	6	4	14	11	11	15	21	18	11	13	11	12	152	135	110	160	144	125	154	150	122	128	108	142	141	135	155	147
GRMZM2G343543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5199	4074	4764	3986	3695	3089	3510	3398	3532	5078	4022	4138	3862	3677	3705	3862
GRMZM2G061043	26	0	24	0	24	0	46	0	0	35	0	32	0	45	0	39	19	15	11	19	22	17	20	27	26	32	9	16	20	34	23	37	202	244	184	287	209	193	230	187	246	234	243	286	265	221	281	305
GRMZM2G118403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	523	420	1985	951	2305	2047	1244	45	46	34	33	40	56	32	51
GRMZM5G878834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G170049	33	0	41	1	39	0	57	0	0	20	1	15	0	37	0	44	11	10	17	10	26	21	33	26	25	19	30	15	32	22	21	20	147	87	122	154	151	96	97	149	162	157	195	181	218	149	208	147
GRMZM5G867642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
GRMZM2G095115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	6	8	6	8	4	8	6	9	13	4	6	9	7	6
AC213769.3_FG001	0	0	0	0	1	0	2	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	6	13	6	10	6	7	5	5	9	6	11	11	11	22	13	14
GRMZM2G426415	18	0	18	0	20	0	37	1	0	8	1	8	0	16	0	13	6	6	2	4	7	10	13	9	7	8	5	2	14	7	22	10	275	119	184	190	278	126	145	235	260	195	206	203	302	149	195	198
GRMZM2G110345	28	0	28	1	14	0	14	0	2	11	0	10	1	10	0	3	18	5	26	7	5	3	5	3	16	6	17	6	6	4	10	1	149	85	116	150	153	110	141	155	72	69	67	88	72	91	52	75
GRMZM5G863467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G172945	22	0	15	1	15	0	26	0	3	9	0	5	0	16	0	10	7	6	11	3	14	8	19	8	8	6	15	1	17	5	22	9	79	35	64	80	62	31	40	70	89	76	85	82	95	70	74	101
GRMZM2G082613	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	88	82	89	84	77	72	89	62	85	81	64	52	76	74	73
AC210314.3_FG006	39	0	35	0	18	1	28	0	1	27	0	28	0	38	1	26	15	12	17	9	22	19	18	16	31	21	10	9	19	14	20	21	590	487	524	434	448	403	442	442	423	492	463	474	411	464	366	377
GRMZM2G170628	8	0	8	0	11	0	12	0	1	7	0	2	1	6	0	10	5	2	1	1	7	2	5	2	1	3	2	1	5	2	2	4	47	60	56	43	33	44	42	62	35	52	43	45	35	63	44	24
GRMZM2G360494	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	1
GRMZM2G060116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	2	0	1
GRMZM2G029824	33	0	26	0	17	0	33	0	1	3	0	7	0	13	2	14	11	2	11	6	15	4	15	4	12	7	10	2	10	9	18	4	201	72	129	151	173	59	142	147	163	90	124	152	189	94	147	168
GRMZM2G141903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	503	649	547	757	578	616	583	558	619	842	707	750	681	734	752	811
GRMZM2G029243	19	1	21	0	27	1	10	0	1	11	0	10	1	28	1	47	2	3	2	4	3	3	2	5	21	19	8	5	14	16	21	11	72	45	25	111	66	24	19	46	79	103	20	104	38	169	28	92
GRMZM2G435993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	2	1	2	1	1	1	2	3	2	2	0	0
GRMZM2G397661	13	0	8	0	12	0	15	0	0	6	0	8	0	8	0	3	4	6	2	2	4	2	7	7	3	6	5	1	5	4	5	7	197	74	107	122	143	79	88	105	174	118	160	156	182	97	164	141
GRMZM2G077718	21	0	15	0	12	0	18	0	0	21	0	14	0	13	0	13	8	8	8	11	12	12	11	14	11	12	16	14	8	10	14	13	357	329	365	372	319	298	328	477	279	366	315	341	291	307	371	409
GRMZM2G115372	66	0	86	0	21	0	32	0	1	63	2	78	1	43	0	68	29	21	46	50	12	17	13	16	36	36	40	27	16	17	15	36	458	637	467	499	503	543	660	480	165	306	212	221	198	423	242	227
GRMZM2G578486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G444466	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	0	5	0	1	2	6	0	2	0	7	0	3	3
GRMZM2G449763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	30	27	35	25	20	20	24	25	34	23	36	30	33	39	24
GRMZM2G130101	14	0	13	0	0	0	2	0	1	3	0	6	0	4	0	3	6	5	13	0	1	0	1	1	5	2	7	5	0	0	2	0	718	588	708	640	624	592	633	648	503	653	605	598	550	581	551	569
GRMZM2G386923	28	1	28	0	16	0	21	0	0	25	1	25	0	20	0	24	15	18	18	20	13	21	9	18	12	20	22	14	11	16	10	18	299	184	262	285	246	184	253	258	208	278	263	270	230	252	295	252
GRMZM5G869984	12	0	6	0	8	0	11	1	1	3	1	5	0	4	0	5	5	0	1	4	4	3	6	1	1	2	2	2	7	2	6	3	27	10	13	11	12	13	16	13	27	12	20	23	26	15	18	23
GRMZM2G038183	103	0	91	1	99	0	113	1	0	62	1	53	1	75	2	81	51	20	62	34	74	32	60	37	58	50	65	45	61	46	87	40	254	225	187	308	235	182	250	298	295	269	293	309	319	259	312	367
GRMZM2G140646	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	9	6	2	7	3	8	7	8	3	8	4	9	3	4	10	5
AC190609.3_FG004	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	81	89	142	98	76	108	100	99	99	101	83	150	52	95	111
GRMZM2G125832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	67	64	70	86	55	49	59	99	76	71	97	95	67	79	94
GRMZM2G565140	136	2	138	0	117	0	122	0	0	120	0	117	1	147	0	116	69	71	62	83	65	74	58	66	64	67	69	74	90	78	75	73	1423	1438	1335	1275	1310	1163	1325	1458	1082	1356	1201	1336	1114	1238	1077	1211
AC212347.3_FG002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0
AC194633.3_FG014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	5	0	0	2	2	2	0	0	0	3	0	2	0	0
GRMZM2G026203	25	0	27	0	4	0	2	0	0	17	0	21	0	4	0	0	19	12	22	18	0	0	1	0	25	21	23	17	0	1	1	1	322	337	300	649	349	350	471	434	36	38	27	40	28	43	25	32
GRMZM2G030873	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	284	274	376	320	239	293	280	155	226	160	164	146	209	161	201
GRMZM2G085189	210	1	162	0	180	0	207	0	2	148	0	122	2	137	1	127	97	66	98	76	141	89	90	75	131	70	103	65	112	95	93	85	808	683	727	750	696	566	702	718	732	669	903	835	818	663	727	698
GRMZM2G173251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	335	286	335	290	301	286	292	326	395	363	346	363	355	399	363
GRMZM2G116185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	35	73	80	43	29	35	33	81	98	110	67	108	84	107	101
GRMZM2G069503	28	1	24	0	56	0	84	0	1	64	0	78	0	155	0	126	25	61	10	40	35	94	39	98	26	88	18	50	37	75	39	108	174	481	532	567	151	495	325	398	234	905	700	596	338	797	735	643
GRMZM2G498547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	10	5	0	7	7	7	0	2	3	2	0	6	6	4
