GeneID	REP1.B_b	REP1.B_m	REP2.B_b	REP2.B_m	REP3.B_b	REP3.B_m	REP4.B_b	REP4.B_m	REP1.M_b	REP1.M_m	REP2.M_b	REP2.M_m	REP3.M_b	REP3.M_m	REP4.M_b	REP4.M_m	REP1.BM_b	REP1.BM_m	REP2.BM_b	REP2.BM_m	REP3.BM_b	REP3.BM_m	REP4.BM_b	REP4.BM_m	REP1.MB_b	REP1.MB_m	REP2.MB_b	REP2.MB_m	REP3.MB_b	REP3.MB_m	REP4.MB_b	REP4.MB_m	REP1_B.total	REP1_M.total	REP1_BM.total	REP1_MB.total	REP2_B.total	REP2_M.total	REP2_BM.total	REP2_MB.total	REP3_B.total	REP3_M.total	REP3_BM.total	REP3_MB.total	REP4_B.total	REP4_M.total	REP4_BM.total	REP4_MB.total
GRMZM2G066293	32	1	29	0	22	0	19	0	1	11	0	23	0	21	0	18	10	12	9	6	9	13	10	3	16	13	11	5	11	10	14	4	420	394	370	427	365	344	355	298	244	378	322	331	269	393	282	320
GRMZM2G078820	2	0	3	0	3	0	5	0	0	1	0	2	0	2	1	5	1	2	0	0	3	1	2	1	0	0	3	0	3	1	1	0	67	73	74	73	69	59	46	92	68	89	102	85	87	118	109	92
GRMZM2G371651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM5G872618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	1	7	9	15	2	13	7	27	0	18	7	30	2	12	14
GRMZM2G040871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	5	7	1	2	2	6	2	5	3	3	1	6	2	4
GRMZM2G023769	33	0	32	1	27	0	28	0	1	37	2	39	1	18	0	29	23	11	25	23	21	14	22	11	33	27	18	10	17	15	17	18	94	77	72	125	81	94	121	77	56	56	80	79	64	84	76	92
GRMZM2G148370	136	2	164	1	132	0	138	0	1	171	1	180	0	161	0	133	70	65	102	113	90	83	65	57	110	98	77	69	79	79	77	69	958	813	824	1059	935	786	986	762	1011	850	1072	1016	1106	739	904	1022
GRMZM2G073743	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	200	187	143	253	191	161	166	158	253	275	252	304	255	243	273	302
GRMZM2G072850	150	1	153	1	147	0	206	0	4	127	0	117	1	144	3	134	68	68	67	62	87	78	107	98	93	88	76	60	102	89	81	84	527	599	565	681	523	553	535	549	568	709	663	771	666	687	750	705
GRMZM2G362368	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	1	1	0	0	0	2	0	1	0	0	0	5	3	0	3	5	5	3	4	9	6	8	3	6	3	6	6
